"Codice comune","Comune","Età","Sesso","Popolazione"
"017002","Adro","27","Totale","71"
"017002","Adro","27","Maschi","40"
"017002","Adro","27","Femmine","31"
"017002","Adro","28","Totale","57"
"017002","Adro","28","Maschi","27"
"017002","Adro","28","Femmine","30"
"017002","Adro","29","Totale","69"
"017002","Adro","29","Maschi","30"
"017002","Adro","29","Femmine","39"
"017002","Adro","30","Totale","77"
"017002","Adro","30","Maschi","42"
"017002","Adro","30","Femmine","35"
"017002","Adro","31","Totale","75"
"017002","Adro","31","Maschi","40"
"017002","Adro","31","Femmine","35"
"017002","Adro","32","Totale","91"
"017002","Adro","32","Maschi","56"
"017002","Adro","32","Femmine","35"
"017002","Adro","33","Totale","95"
"017002","Adro","33","Maschi","38"
"017002","Adro","33","Femmine","57"
"017002","Adro","34","Totale","99"
"017002","Adro","34","Maschi","48"
"017002","Adro","34","Femmine","51"
"017002","Adro","35","Totale","79"
"017002","Adro","35","Maschi","46"
"017002","Adro","35","Femmine","33"
"017002","Adro","36","Totale","99"
"017002","Adro","36","Maschi","54"
"017002","Adro","36","Femmine","45"
"017002","Adro","37","Totale","85"
"017002","Adro","37","Maschi","43"
"017002","Adro","37","Femmine","42"
"017002","Adro","38","Totale","120"
"017002","Adro","38","Maschi","67"
"017002","Adro","38","Femmine","53"
"017002","Adro","39","Totale","124"
"017002","Adro","39","Maschi","66"
"017002","Adro","39","Femmine","58"
"017002","Adro","40","Totale","136"
"017002","Adro","40","Maschi","71"
"017002","Adro","40","Femmine","65"
"017002","Adro","41","Totale","137"
"017002","Adro","41","Maschi","67"
"017002","Adro","41","Femmine","70"
"017002","Adro","42","Totale","126"
"017002","Adro","42","Maschi","61"
"017002","Adro","42","Femmine","65"
"017002","Adro","43","Totale","114"
"017002","Adro","43","Maschi","66"
"017002","Adro","43","Femmine","48"
"017002","Adro","44","Totale","107"
"017002","Adro","44","Maschi","59"
"017002","Adro","44","Femmine","48"
"017002","Adro","45","Totale","122"
"017002","Adro","45","Maschi","61"
"017002","Adro","45","Femmine","61"
"017002","Adro","46","Totale","133"
"017002","Adro","46","Maschi","57"
"017002","Adro","46","Femmine","76"
"017002","Adro","47","Totale","115"
"017002","Adro","47","Maschi","63"
"017002","Adro","47","Femmine","52"
"017002","Adro","48","Totale","118"
"017002","Adro","48","Maschi","53"
"017002","Adro","48","Femmine","65"
"017002","Adro","49","Totale","124"
"017002","Adro","49","Maschi","77"
"017002","Adro","49","Femmine","47"
"017002","Adro","50","Totale","122"
"017002","Adro","50","Maschi","56"
"017002","Adro","50","Femmine","66"
"017002","Adro","51","Totale","103"
"017002","Adro","51","Maschi","55"
"017002","Adro","51","Femmine","48"
"017002","Adro","52","Totale","108"
"017002","Adro","52","Maschi","60"
"017002","Adro","52","Femmine","48"
"017002","Adro","53","Totale","94"
"017002","Adro","53","Maschi","47"
"017002","Adro","53","Femmine","47"
"017002","Adro","54","Totale","93"
"017002","Adro","54","Maschi","45"
"017002","Adro","54","Femmine","48"
"017002","Adro","55","Totale","99"
"017002","Adro","55","Maschi","39"
"017002","Adro","55","Femmine","60"
"017002","Adro","56","Totale","83"
"017002","Adro","56","Maschi","43"
"017002","Adro","56","Femmine","40"
"017002","Adro","57","Totale","97"
"017002","Adro","57","Maschi","44"
"017002","Adro","57","Femmine","53"
"017002","Adro","58","Totale","97"
"017002","Adro","58","Maschi","60"
"017002","Adro","58","Femmine","37"
"017002","Adro","59","Totale","83"
"017002","Adro","59","Maschi","43"
"017002","Adro","59","Femmine","40"
"017002","Adro","60","Totale","84"
"017002","Adro","60","Maschi","46"
"017002","Adro","60","Femmine","38"
"017002","Adro","61","Totale","98"
"017002","Adro","61","Maschi","52"
"017002","Adro","61","Femmine","46"
"017002","Adro","62","Totale","75"
"017002","Adro","62","Maschi","33"
"017002","Adro","62","Femmine","42"
"017002","Adro","63","Totale","68"
"017002","Adro","63","Maschi","37"
"017002","Adro","63","Femmine","31"
"017002","Adro","64","Totale","55"
"017002","Adro","64","Maschi","26"
"017002","Adro","64","Femmine","29"
"017002","Adro","65","Totale","97"
"017002","Adro","65","Maschi","44"
"017002","Adro","65","Femmine","53"
"017002","Adro","66","Totale","85"
"017002","Adro","66","Maschi","44"
"017002","Adro","66","Femmine","41"
"017002","Adro","67","Totale","89"
"017002","Adro","67","Maschi","43"
"017002","Adro","67","Femmine","46"
"017002","Adro","68","Totale","78"
"017002","Adro","68","Maschi","49"
"017002","Adro","68","Femmine","29"
"017002","Adro","69","Totale","71"
"017002","Adro","69","Maschi","33"
"017002","Adro","69","Femmine","38"
"017002","Adro","70","Totale","61"
"017002","Adro","70","Maschi","30"
"017002","Adro","70","Femmine","31"
"017002","Adro","71","Totale","59"
"017002","Adro","71","Maschi","27"
"017002","Adro","71","Femmine","32"
"017002","Adro","72","Totale","63"
"017002","Adro","72","Maschi","27"
"017002","Adro","72","Femmine","36"
"017002","Adro","73","Totale","81"
"017002","Adro","73","Maschi","33"
"017002","Adro","73","Femmine","48"
"017002","Adro","74","Totale","70"
"017002","Adro","74","Maschi","31"
"017002","Adro","74","Femmine","39"
"017002","Adro","75","Totale","65"
"017002","Adro","75","Maschi","33"
"017002","Adro","75","Femmine","32"
"017002","Adro","76","Totale","69"
"017002","Adro","76","Maschi","38"
"017002","Adro","76","Femmine","31"
"017002","Adro","77","Totale","61"
"017002","Adro","77","Maschi","36"
"017002","Adro","77","Femmine","25"
"017002","Adro","78","Totale","55"
"017002","Adro","78","Maschi","21"
"017002","Adro","78","Femmine","34"
"017002","Adro","79","Totale","51"
"017002","Adro","79","Maschi","15"
"017002","Adro","79","Femmine","36"
"017002","Adro","80","Totale","46"
"017002","Adro","80","Maschi","19"
"017002","Adro","80","Femmine","27"
"017002","Adro","81","Totale","46"
"017002","Adro","81","Maschi","23"
"017002","Adro","81","Femmine","23"
"017002","Adro","82","Totale","37"
"017002","Adro","82","Maschi","19"
"017002","Adro","82","Femmine","18"
"017002","Adro","83","Totale","38"
"017002","Adro","83","Maschi","14"
"017002","Adro","83","Femmine","24"
"017002","Adro","84","Totale","36"
"017002","Adro","84","Maschi","15"
"017002","Adro","84","Femmine","21"
"017002","Adro","85","Totale","35"
"017002","Adro","85","Maschi","12"
"017002","Adro","85","Femmine","23"
"017002","Adro","86","Totale","26"
"017002","Adro","86","Maschi","11"
"017002","Adro","86","Femmine","15"
"017002","Adro","87","Totale","26"
"017002","Adro","87","Maschi","9"
"017002","Adro","87","Femmine","17"
"017002","Adro","88","Totale","25"
"017002","Adro","88","Maschi","6"
"017002","Adro","88","Femmine","19"
"017002","Adro","89","Totale","19"
"017002","Adro","89","Maschi","4"
"017002","Adro","89","Femmine","15"
"017002","Adro","90","Totale","22"
"017002","Adro","90","Maschi","5"
"017002","Adro","90","Femmine","17"
"017002","Adro","91","Totale","22"
"017002","Adro","91","Maschi","6"
"017002","Adro","91","Femmine","16"
"017002","Adro","92","Totale","11"
"017002","Adro","92","Maschi","5"
"017002","Adro","92","Femmine","6"
"017002","Adro","93","Totale","8"
"017002","Adro","93","Maschi","1"
"017002","Adro","93","Femmine","7"
"017002","Adro","94","Totale","7"
"017002","Adro","94","Maschi","0"
"017002","Adro","94","Femmine","7"
"017002","Adro","95","Totale","4"
"017002","Adro","95","Maschi","0"
"017002","Adro","95","Femmine","4"
"017002","Adro","96","Totale","0"
"017002","Adro","96","Maschi","0"
"017002","Adro","96","Femmine","0"
"017002","Adro","97","Totale","1"
"017002","Adro","97","Maschi","0"
"017002","Adro","97","Femmine","1"
"017002","Adro","98","Totale","1"
"017002","Adro","98","Maschi","1"
"017002","Adro","98","Femmine","0"
"017002","Adro","99","Totale","2"
"017002","Adro","99","Maschi","0"
"017002","Adro","99","Femmine","2"
"017002","Adro","100 e oltre","Totale","1"
"017002","Adro","100 e oltre","Maschi","0"
"017002","Adro","100 e oltre","Femmine","1"
"017003","Agnosine","0","Totale","12"
"017003","Agnosine","0","Maschi","6"
"017003","Agnosine","0","Femmine","6"
"017003","Agnosine","1","Totale","10"
"017003","Agnosine","1","Maschi","6"
"017003","Agnosine","1","Femmine","4"
"017003","Agnosine","2","Totale","17"
"017003","Agnosine","2","Maschi","9"
"017003","Agnosine","2","Femmine","8"
"017003","Agnosine","3","Totale","17"
"017003","Agnosine","3","Maschi","13"
"017003","Agnosine","3","Femmine","4"
"017003","Agnosine","4","Totale","7"
"017003","Agnosine","4","Maschi","4"
"017003","Agnosine","4","Femmine","3"
"017003","Agnosine","5","Totale","20"
"017003","Agnosine","5","Maschi","9"
"017003","Agnosine","5","Femmine","11"
"017003","Agnosine","6","Totale","18"
"017003","Agnosine","6","Maschi","11"
"017003","Agnosine","6","Femmine","7"
"017003","Agnosine","7","Totale","18"
"017003","Agnosine","7","Maschi","8"
"017003","Agnosine","7","Femmine","10"
"017003","Agnosine","8","Totale","20"
"017003","Agnosine","8","Maschi","12"
"017003","Agnosine","8","Femmine","8"
"017003","Agnosine","9","Totale","12"
"017003","Agnosine","9","Maschi","6"
"017003","Agnosine","9","Femmine","6"
"017003","Agnosine","10","Totale","16"
"017003","Agnosine","10","Maschi","8"
"017003","Agnosine","10","Femmine","8"
"017003","Agnosine","11","Totale","19"
"017003","Agnosine","11","Maschi","9"
"017003","Agnosine","11","Femmine","10"
"017003","Agnosine","12","Totale","11"
"017003","Agnosine","12","Maschi","6"
"017003","Agnosine","12","Femmine","5"
"017003","Agnosine","13","Totale","14"
"017003","Agnosine","13","Maschi","8"
"017003","Agnosine","13","Femmine","6"
"017003","Agnosine","14","Totale","15"
"017003","Agnosine","14","Maschi","6"
"017003","Agnosine","14","Femmine","9"
"017003","Agnosine","15","Totale","13"
"017003","Agnosine","15","Maschi","8"
"017003","Agnosine","15","Femmine","5"
"017003","Agnosine","16","Totale","20"
"017003","Agnosine","16","Maschi","14"
"017003","Agnosine","16","Femmine","6"
"017003","Agnosine","17","Totale","15"
"017003","Agnosine","17","Maschi","9"
"017003","Agnosine","17","Femmine","6"
"017003","Agnosine","18","Totale","20"
"017003","Agnosine","18","Maschi","12"
"017003","Agnosine","18","Femmine","8"
"017003","Agnosine","19","Totale","15"
"017003","Agnosine","19","Maschi","8"
"017003","Agnosine","19","Femmine","7"
"017003","Agnosine","20","Totale","15"
"017003","Agnosine","20","Maschi","10"
"017003","Agnosine","20","Femmine","5"
"017003","Agnosine","21","Totale","24"
"017003","Agnosine","21","Maschi","15"
"017003","Agnosine","21","Femmine","9"
"017003","Agnosine","22","Totale","14"
"017003","Agnosine","22","Maschi","8"
"017003","Agnosine","22","Femmine","6"
"017003","Agnosine","23","Totale","16"
"017003","Agnosine","23","Maschi","9"
"017003","Agnosine","23","Femmine","7"
"017003","Agnosine","24","Totale","13"
"017003","Agnosine","24","Maschi","4"
"017003","Agnosine","24","Femmine","9"
"017003","Agnosine","25","Totale","25"
"017003","Agnosine","25","Maschi","13"
"017003","Agnosine","25","Femmine","12"
"017003","Agnosine","26","Totale","18"
"017003","Agnosine","26","Maschi","9"
"017003","Agnosine","26","Femmine","9"
"017003","Agnosine","27","Totale","22"
"017003","Agnosine","27","Maschi","7"
"017003","Agnosine","27","Femmine","15"
"017003","Agnosine","28","Totale","14"
"017003","Agnosine","28","Maschi","8"
"017003","Agnosine","28","Femmine","6"
"017003","Agnosine","29","Totale","22"
"017003","Agnosine","29","Maschi","9"
"017003","Agnosine","29","Femmine","13"
"017003","Agnosine","30","Totale","25"
