MonthPeriod;Year;Month;Season;Area;Population;Respiratory_rate_per_10000;Cardiocirculatory_rate_per_10000;NO2_population_weighted_mean;PM25_population_weighted_mean;TimeLabel
2018-09-01;2018;9;Autumn;Industrial;338804;4.89958796236172;14.96440419829754;24.41423345060861;15.95072077071109;2018-09
2018-10-01;2018;10;Autumn;Industrial;338804;6.050695977615376;17.17807345840073;31.714394924689547;20.045783916935893;2018-10
2018-11-01;2018;11;Autumn;Industrial;338804;6.227789518423631;16.115512213551195;29.68256487526712;25.54544987662484;2018-11
2018-12-01;2018;12;Winter;Industrial;338804;7.910178156102053;17.70935408082549;47.90094104270391;38.927900935015806;2018-12
2019-01-01;2019;1;Winter;Industrial;340591;9.04310448602576;17.058583462275866;45.38657755338184;32.41197402503675;2019-01
2019-02-01;2019;2;Winter;Industrial;340591;9.483515418786755;16.706254716067072;52.66375639277441;35.407837615875266;2019-02
2019-03-01;2019;3;Spring;Industrial;340591;7.105296381877383;16.853058360320738;40.18880973594192;22.349860077184623;2019-03
2019-04-01;2019;4;Spring;Industrial;340591;6.635524720265656;16.148400867903145;26.99293276490962;16.44490566887166;2019-04
2019-05-01;2019;5;Spring;Industrial;340591;7.046574924175918;15.443743375485552;23.13434684359379;13.72095591713872;2019-05
2019-06-01;2019;6;Summer;Industrial;340591;6.723606906817855;15.531825562037753;21.64378156400688;14.70179394053278;2019-06
2019-07-01;2019;7;Summer;Industrial;340591;7.516346585787646;15.737350663992885;22.1645749830868;14.42948741566012;2019-07
2019-08-01;2019;8;Summer;Industrial;340591;5.960227956698797;14.3280356791577;17.18790000796528;10.862627211277248;2019-08
2019-09-01;2019;9;Autumn;Industrial;340591;5.754702854743666;14.269314221456234;27.131127706447515;14.810073666068687;2019-09
2019-10-01;2019;10;Autumn;Industrial;340591;7.604428772339844;15.884154308246549;27.201272077255464;17.783550433823713;2019-10
2019-11-01;2019;11;Autumn;Industrial;340591;6.8704105510715205;14.474839323411365;33.78882854606649;16.03674270116748;2019-11
2019-12-01;2019;12;Winter;Industrial;340591;7.8686753319964415;16.030957952500213;40.02401630903247;27.68682406984974;2019-12
2023-01-01;2023;1;Winter;Industrial;341484;9.51728338663012;17.5703693291633;28.14288321636757;25.270705735610907;2023-01
2023-02-01;2023;2;Winter;Industrial;341484;8.375209380234505;14.231999156622273;35.87886827368612;38.871868186252605;2023-02
2023-03-01;2023;3;Spring;Industrial;341484;7.848098300359607;16.01832003842054;27.686059640634934;21.57385175747147;2023-03
2023-04-01;2023;4;Spring;Industrial;341484;7.76024645371379;15.403357111899826;19.26579209177199;10.738293448594955;2023-04
2023-05-01;2023;5;Spring;Industrial;341484;6.99886378278338;16.369727425003806;18.15765501316644;9.127538398814131;2023-05
2023-06-01;2023;6;Summer;Industrial;341484;6.442468754026543;16.77970270935095;16.1005805640479;10.837214823144471;2023-06
2023-07-01;2023;7;Summer;Industrial;341484;6.208197162971032;18.126764357920138;13.866485351790912;11.310559773073958;2023-07
2023-08-01;2023;8;Summer;Industrial;341484;6.99886378278338;15.666912651837274;12.341090613606418;10.280018031355365;2023-08
2023-09-01;2023;9;Autumn;Industrial;341484;6.735308242845932;15.637628702955336;17.996408391998845;12.220757536712313;2023-09
2023-10-01;2023;10;Autumn;Industrial;341484;7.6431106581860355;18.126764357920138;23.68059317755784;14.984386648635311;2023-10
2023-11-01;2023;11;Autumn;Industrial;341484;7.438123016012463;20.03022103524616;30.90499398702916;14.58744987564083;2023-11
2023-12-01;2023;12;Winter;Industrial;341484;11.596443757247776;20.440196319593305;34.10534757969108;26.3111419568706;2023-12
