MonthPeriod;Year;Month;Season;Area;Population;Respiratory_rate_per_10000;Cardiocirculatory_rate_per_10000;NO2_population_weighted_mean;NO2_arithmetic_mean;PM25_population_weighted_mean;PM25_arithmetic_mean;TimeLabel
2019-09-01;2019;9;Autumn;Industrial;340591;5.754702854743666;14.269314221456234;26.66501520013003;23.66958333333333;14.683670946782488;14.195833333333333;2019-09
2019-10-01;2019;10;Autumn;Industrial;340591;7.604428772339844;15.884154308246549;26.797269035213617;24.53407258064516;17.673125937082432;17.149193548387096;2019-10
2019-11-01;2019;11;Autumn;Industrial;340591;6.8704105510715205;14.474839323411365;33.12932284674858;30.3775;15.937084605027382;16.085416666666667;2019-11
2019-12-01;2019;12;Winter;Industrial;340591;7.8686753319964415;16.030957952500213;39.286281113175775;36.77903225806452;27.51705861414817;27.88508064516129;2019-12
2023-01-01;2023;1;Winter;Industrial;341484;9.51728338663012;17.5703693291633;28.301250586629948;26.681048387096773;25.263381745469975;24.657258064516128;2023-01
2023-02-01;2023;2;Winter;Industrial;341484;8.375209380234505;14.231999156622273;36.38112183961066;33.745089285714286;39.10988644119241;38.88839285714285;2023-02
2023-03-01;2023;3;Spring;Industrial;341484;7.848098300359607;16.01832003842054;28.01650078720705;25.637298387096774;21.61621826583669;21.554435483870968;2023-03
2023-04-01;2023;4;Spring;Industrial;341484;7.76024645371379;15.403357111899826;19.145705884588917;16.52625;10.70667232838783;10.741666666666667;2023-04
2023-05-01;2023;5;Spring;Industrial;341484;6.99886378278338;16.369727425003806;18.133718076101587;15.67983870967742;9.077436702047745;8.977822580645162;2023-05
2023-06-01;2023;6;Summer;Industrial;341484;6.442468754026543;16.77970270935095;15.944728627502762;13.3175;10.787049062915123;10.6625;2023-06
2023-07-01;2023;7;Summer;Industrial;341484;6.208197162971032;18.126764357920138;13.74041207559356;11.05483870967742;11.27779706321044;11.09274193548387;2023-07
2023-08-01;2023;8;Summer;Industrial;341484;6.99886378278338;15.666912651837274;12.383607768374487;10.26290322580645;10.309234426620533;10.193548387096774;2023-08
2023-09-01;2023;9;Autumn;Industrial;341484;6.735308242845932;15.637628702955336;18.00511871608969;15.501666666666669;12.184197195947569;12.166666666666666;2023-09
2023-10-01;2023;10;Autumn;Industrial;341484;7.6431106581860355;18.126764357920138;23.634611931704654;20.844758064516128;14.973188688070852;14.981854838709678;2023-10
2023-11-01;2023;11;Autumn;Industrial;341484;7.438123016012463;20.03022103524616;30.743240645156128;27.364166666666662;14.659552003809155;14.55;2023-11
2023-12-01;2023;12;Winter;Industrial;341484;11.596443757247776;20.440196319593305;33.96843953142401;30.44314516129032;26.253147085746328;25.756048387096776;2023-12
